type,market,code,date,year,pre5,day0,react2,gap,hold1,hold3,hold5,hold10,hold20
주식소각결정,코스닥시장,264450,2024-10-23,2024,0.016525978876508966,0.03132520591338782,0.07854091713650177,0.010237212663203226,0.03578387513285616,0.03013346342292951,-0.002457047533205671,0.0069231971616167745,-0.011325966478553787
주식소각결정,유가증권시장,028100,2024-10-11,2024,-0.016636094143413264,0.03171940925565191,0.05932893082056809,-0.00013483266157870083,0.026886788365146942,0.023355810861911568,0.006644709675761908,0.05756226185493997,0.06573917080788798
주식소각결정,유가증권시장,079900,2024-10-08,2024,-0.009411886915764755,0.0579414467252108,0.05621579406202746,0.024318113143965262,-0.025190362747301992,-0.022437236163380773,-0.037588976948852194,0.08802484399648228,0.5268837072300488
주식소각결정,코스닥시장,095660,2024-10-07,2024,0.017742801937502026,-0.021229601901535722,-0.018577293390259243,0.006609077649600096,-0.004007015255244477,-0.02407069889025265,-0.021484609285908375,-0.03474884264702068,0.023140711773159822
주식소각결정,코스닥시장,263860,2024-10-07,2024,-0.040881722499138316,0.015750618036479647,0.021511734837911488,-0.0020662300103129936,0.007693321445092179,0.018437718618164955,0.0036837408824417976,0.019838699440521447,0.027770341402789472
주식소각결정,유가증권시장,010130,2024-10-02,2024,-0.05400524577859157,0.04864413570706755,0.13783935623180055,0.052942973045679464,0.031427286537901125,0.025222184999701663,0.051441685092292286,0.09364693441401846,0.35395824194091674
주식소각결정,코스닥시장,088130,2024-09-23,2024,0.1214758677408252,0.2968851478192641,0.1687749515369701,0.019008084682571057,-0.11782467608293586,-0.1937837265215698,-0.20980371381309715,-0.19191028226496876,-0.16013960689175463
주식소각결정,유가증권시장,011780,2024-09-12,2024,0.04619148989359623,-0.10354580759369975,-0.11342751368292904,0.00297999254961617,-0.012616735163978193,-0.024811752134711727,0.051746152678684834,0.1558771935966709,0.019792461429799752
주식소각결정,유가증권시장,003920,2024-09-09,2024,0.019402171582856793,0.0007043376565578144,0.11768400114910198,0.16575059368462902,-0.041612770658445715,-0.07813241384356916,-0.013512066369411737,-0.03846216058692593,-0.0004216871253366894
주식소각결정,유가증권시장,002310,2024-09-05,2024,0.021107262270835838,0.01382149752928767,0.01668356161987589,-0.0016324703367444871,0.004831250909774772,0.021126859041596134,-0.010447870977867098,-0.026873931981890156,0.02838804804763915
주식소각결정,코스닥시장,050890,2024-08-22,2024,-0.02175462594496406,0.011116103960930745,0.019076688509774842,0.02909074331678148,-0.020298545166843898,-0.02954859564189419,-0.05147493524938515,-0.08773100108929566,-0.036119568218780075
주식소각결정,코스닥시장,293580,2024-08-21,2024,-0.08044220031887606,-0.007846663768961096,-0.011388354494457714,-0.0004310468050384318,-0.002860986545045371,0.011005619192944124,-0.0007230318363851684,0.006441332993270925,0.010808229651189799
주식소각결정,유가증권시장,016740,2024-08-12,2024,-0.02172869435643724,0.00048382988450922787,0.06015299449273279,0.03575562965499731,0.022472190493940846,0.030936760998434308,0.016060097453185533,-0.019303042745553618,-0.0397465925158105
주식소각결정,코스닥시장,096240,2024-08-09,2024,0.060924427566839634,-0.028309785213818942,-0.0578413890902654,0.003035461017254999,-0.03177263801986883,-0.037611230189890967,-0.05243722470921548,-0.0420697154378045,-0.03354903696914026
주식소각결정,코스닥시장,041510,2024-08-08,2024,0.07679992609809994,-0.005390680910728319,-0.060872183542821576,-0.0015093270075711117,-0.05403203535525206,-0.08360890487685162,-0.12466682200057841,-0.10100978632691265,-0.17027404273753152
주식소각결정,유가증권시장,035150,2024-08-08,2024,-0.025067534034685875,0.006029678999568455,0.09281695291202152,0.003703383593920157,0.08122306530967914,0.1373888111721466,0.11976489780523773,0.0932690142942009,0.029207348144812566
주식소각결정,코스닥시장,039840,2024-08-07,2024,0.0519017758280608,0.014925723520659094,-0.12755795223807231,-0.0884430779529912,-0.052932057192103116,-0.14336458153809709,-0.14453749571880647,-0.13094700921476307,-0.05810922832192877
주식소각결정,유가증권시장,010060,2024-08-05,2024,0.005188029137518219,0.004851917993346666,-0.011300069592732602,0.005444848787148942,-0.02457147905605478,-0.016833432378597295,-0.02013039715074673,0.004666730887086509,-0.03969046953196609
주식소각결정,유가증권시장,138930,2024-07-31,2024,0.10654357562740603,-0.00462556540776328,-0.0029689240840058643,-0.01194479993774379,0.013676099794392079,0.03349885010575092,0.036130701020558535,0.0652257875792363,0.10825932302382402
주식소각결정,유가증권시장,175330,2024-07-25,2024,0.05115353958666422,-0.02585411758690246,-0.0383119599820831,0.0006116534177921748,-0.013351947504165632,-0.016886074639807555,-0.01692057455173651,0.02039230126511566,0.07370591042222818
주식소각결정,코스닥시장,299030,2024-07-25,2024,-0.013226974932918308,-0.016558024529726094,-0.02834428545000118,0.008349057107175118,-0.02014724484421799,0.0267563308924759,0.06236075631788249,-0.04204623437171254,0.05669151721998733
주식소각결정,유가증권시장,089860,2024-07-23,2024,-0.014020109323801752,-0.005144408745394637,0.0046520307712636984,0.016422838060439614,-0.006597382165406684,-0.001700246494782495,-0.029126618200318033,-0.02427469961534799,-0.009215658050815182
주식소각결정,유가증권시장,105560,2024-07-23,2024,0.02828181279142268,0.02053496967964867,-0.022183417017941402,0.01582979824178784,-0.05706804541692785,-0.01686846402658336,-0.0012596791866034136,-0.04322551503537851,-0.016110793629930988
주식소각결정,유가증권시장,007340,2024-07-22,2024,-0.006086411781109834,0.019868828313998617,0.014774007956328683,0.005734988934012698,-0.010841498809400498,-0.002213047082542578,0.017098553479562885,0.10654379234609292,0.08731286093348296
주식소각결정,유가증권시장,035150,2024-07-19,2024,-0.03476775525699664,0.0641096796669832,0.049647566916105945,0.0076037894338641,-0.020695083355486463,-0.02412987671022028,-0.04573720392281583,-0.09215975415780318,0.007913491963863081
주식소각결정,유가증권시장,005490,2024-07-12,2024,0.028936467267034964,0.0016577446350625144,-0.019442082973718907,0.006824976413051242,-0.02761305521202419,-0.07948598151265532,-0.056168394209392083,-0.08073398003377108,-0.12316759465876372
주식소각결정,유가증권시장,241560,2024-07-11,2024,0.01051514991191881,0.018698647690106387,0.07003631883413891,-0.009220788598164572,0.06013336695680443,-0.07285472611698329,-0.03851859711815366,-0.11581678887117702,-0.2237772605052233
주식소각결정,유가증권시장,143210,2024-07-10,2024,0.03503509446492899,0.02003986219612442,0.030026055046686356,0.011686654320379995,-0.001567873701542188,-0.038539226860611446,-0.0347298092555015,-0.03481411947949018,-0.05628322227202506
주식소각결정,코스닥시장,036930,2024-07-04,2024,0.1263443810710221,-0.01778626866104646,-0.06770051572434292,0.002283068442664849,-0.05310472933283795,-0.054098818385789796,-0.04095317822813781,-0.15838396277704112,-0.19524162250306792
주식소각결정,코스닥시장,290560,2025-06-24,2025,0.013341333602765192,0.0024924260494711033,0.04493275979590497,0.05991997355221285,-0.016549887329063394,-0.05631517565183344,-0.06138738208967391,-0.06772508278358344,-0.07900718191494124
주식소각결정,코스닥시장,148150,2025-06-18,2025,-0.05352999315372319,-0.0019718494529397034,0.024336194197946588,0.03945581715474018,-0.012700590074005752,-0.02759039567440571,0.0036985142783336825,-0.05562998017162326,0.03243229945732265
주식소각결정,코스닥시장,259630,2025-06-18,2025,-0.014189428059937937,0.008256576942999423,-0.010266174668381802,-0.005320302248244795,-0.013077574200989811,0.015742937658927626,0.03782549840531791,0.04627478173313868,0.07846404548906874
주식소각결정,코스닥시장,119610,2025-06-16,2025,-0.05638843174772143,0.017691084298763426,0.041681595104273696,-0.0035532838880127917,0.026997884049715162,0.0018754378731555728,-0.016729952967322676,-0.011680759161241781,0.1138000236043027
주식소각결정,코스닥시장,214450,2025-06-13,2025,0.05124030592334296,-0.15049044458543823,-0.11161575066623712,0.03937081104825501,0.008180196321825808,-0.05743966821359846,-0.010200484190811213,0.06398521152126925,0.20872105250035214
