date,equity,n,cash
2025-10-02,1156100.5046542997,10,111580.50465429964
2025-10-10,1158830.5046542997,10,111580.50465429964
2025-10-13,1150680.5046542997,10,111580.50465429964
2025-10-14,1145990.5046542997,10,111580.50465429964
2025-10-15,1172880.5046542997,10,111580.50465429964
2025-10-16,1185160.5046542997,10,111580.50465429964
2025-10-17,1173630.5046542997,10,111580.50465429964
2025-10-20,1190690.5046542997,10,111580.50465429964
2025-10-21,1180640.5046542997,10,111580.50465429964
2025-10-22,1191880.5046542997,10,111580.50465429964
2025-10-23,1185980.5046542997,10,111580.50465429964
2025-10-24,1195820.5046542997,10,111580.50465429964
2025-10-27,1210550.5046542997,10,111580.50465429964
2025-10-28,1213100.5046542997,10,111580.50465429964
2025-10-29,1225770.5046542997,10,111580.50465429964
2025-10-30,1220400.5046542997,10,111580.50465429964
2025-10-31,1217320.5046542997,10,111580.50465429964
2025-11-03,1218000.5518532996,10,145030.5518532996
2025-11-04,1213050.5518532996,10,145030.5518532996
2025-11-05,1201180.5518532996,10,145030.5518532996
2025-11-06,1219700.5518532996,10,145030.5518532996
2025-11-07,1210210.5518532996,10,145030.5518532996
2025-11-10,1253340.5518532996,10,145030.5518532996
2025-11-11,1248590.5518532996,10,145030.5518532996
2025-11-12,1269890.5518532996,10,145030.5518532996
2025-11-13,1260240.5518532996,10,145030.5518532996
2025-11-14,1238030.5518532996,10,145030.5518532996
2025-11-17,1234240.5518532996,10,145030.5518532996
2025-11-18,1196060.5518532996,10,145030.5518532996
2025-11-19,1204720.5518532996,10,145030.5518532996
2025-11-20,1231130.5518532996,10,145030.5518532996
2025-11-21,1220020.5518532996,10,145030.5518532996
2025-11-24,1216810.5518532996,10,145030.5518532996
2025-11-25,1210760.5518532996,10,145030.5518532996
2025-11-26,1234280.5518532996,10,145030.5518532996
2025-11-27,1239510.5518532996,10,145030.5518532996
2025-11-28,1245410.5518532996,10,145030.5518532996
2025-12-01,1243457.3099582996,10,165517.30995829962
2025-12-02,1257697.3099582996,10,165517.30995829962
2025-12-03,1279127.3099582996,10,165517.30995829962
2025-12-04,1267257.3099582996,10,165517.30995829962
2025-12-05,1276757.3099582996,10,165517.30995829962
2025-12-08,1275777.3099582996,10,165517.30995829962
2025-12-09,1273247.3099582996,10,165517.30995829962
2025-12-10,1272227.3099582996,10,165517.30995829962
2025-12-11,1287047.3099582996,10,165517.30995829962
2025-12-12,1315457.3099582996,10,165517.30995829962
2025-12-15,1311577.3099582996,10,165517.30995829962
2025-12-16,1300997.3099582996,10,165517.30995829962
2025-12-17,1305947.3099582996,10,165517.30995829962
2025-12-18,1295537.3099582996,10,165517.30995829962
2025-12-19,1295067.3099582996,10,165517.30995829962
2025-12-22,1313027.3099582996,10,165517.30995829962
2025-12-23,1305367.3099582996,10,165517.30995829962
2025-12-24,1303737.3099582996,10,165517.30995829962
2025-12-26,1302087.3099582996,10,165517.30995829962
2025-12-29,1278657.3099582996,10,165517.30995829962
2025-12-30,1274307.3099582996,10,165517.30995829962
2026-01-02,1269538.8356112996,10,177878.8356112996
2026-01-05,1282878.8356112996,10,177878.8356112996
2026-01-06,1288208.8356112996,10,177878.8356112996
2026-01-07,1283418.8356112996,10,177878.8356112996
2026-01-08,1263398.8356112996,10,177878.8356112996
2026-01-09,1262878.8356112996,10,177878.8356112996
2026-01-12,1266108.8356112996,10,177878.8356112996
2026-01-13,1281828.8356112996,10,177878.8356112996
2026-01-14,1285308.8356112996,10,177878.8356112996
2026-01-15,1283118.8356112996,10,177878.8356112996
2026-01-16,1285608.8356112996,10,177878.8356112996
2026-01-19,1290248.8356112996,10,177878.8356112996
2026-01-20,1309698.8356112996,10,177878.8356112996
2026-01-21,1296528.8356112996,10,177878.8356112996
2026-01-22,1305838.8356112996,10,177878.8356112996
2026-01-23,1326438.8356112996,10,177878.8356112996
2026-01-26,1349888.8356112996,10,177878.8356112996
2026-01-27,1367218.8356112996,10,177878.8356112996
2026-01-28,1375958.8356112996,10,177878.8356112996
2026-01-29,1414988.8356112996,10,177878.8356112996
2026-01-30,1425578.8356112996,10,177878.8356112996
2026-02-02,1387191.9761402996,10,283741.9761402996
2026-02-03,1419821.9761402996,10,283741.9761402996
2026-02-04,1456326.9761402996,10,283741.9761402996
2026-02-05,1451361.9761402996,10,283741.9761402996
2026-02-06,1434461.9761402996,10,283741.9761402996
2026-02-09,1446491.9761402996,10,283741.9761402996
2026-02-10,1471966.9761402996,10,283741.9761402996
2026-02-11,1492886.9761402996,10,283741.9761402996
2026-02-12,1517571.9761402996,10,283741.9761402996
2026-02-13,1523431.9761402996,10,283741.9761402996
2026-02-19,1545476.9761402996,10,283741.9761402996
2026-02-20,1568411.9761402996,10,283741.9761402996
2026-02-23,1573331.9761402996,10,283741.9761402996
2026-02-24,1587951.9761402996,10,283741.9761402996
