,BASE,ADD_BUFFETT,ADD_FSCORE,BUFFETT_for_EP,BUFFETT_for_SP,BUFFETT_for_ROE,BUFFETT_for_OPG,BUFFETT_for_OPG_Q,BUFFETT_for_VOL60,BUFFETT_for_TURN20,FSCORE_for_EP,FSCORE_for_SP,FSCORE_for_ROE,FSCORE_for_OPG,FSCORE_for_OPG_Q,FSCORE_for_VOL60,FSCORE_for_TURN20
2024-09-30,0.11466927013376693,0.10249246692512273,0.12021602283714385,0.12069766875876747,0.11403963603123374,0.11232598383689175,0.11073557849880411,0.10503081639762205,0.07043552116588478,0.06972064096928024,0.14087025016408256,0.13221569534115707,0.13073863694464438,0.1453152838304708,0.11880212518363115,0.0901386406312834,0.08888792060332534
2024-10-31,0.31476443891518363,0.3141530565753925,0.3183478316108627,0.31984501193511905,0.2912322966389745,0.32934772411820273,0.1769478799262354,0.3267903969988264,0.2697796115008255,0.2998005831804753,0.32462090028637414,0.2951955829466784,0.3328304398135409,0.19611682763442356,0.3300684586113044,0.27426424755975254,0.30197382231992737
2024-11-29,0.07729586287529176,0.10455893568109262,0.09586784484150633,0.11793126554453952,0.13279881546441727,0.09308503923377479,0.12596615672513908,0.07216774910137154,0.12032980902375173,0.1290641080535562,0.10899344197931764,0.12717486156551186,0.089476383821628,0.1247915464369704,0.06588904474469594,0.10981171788435198,0.12041253914643418
2024-12-30,-0.0812126665013678,-0.07503908188752602,-0.07316156838168553,-0.07451787986626014,-0.05358744112049354,-0.08756122881086824,-0.012215124016527844,-0.08460296833179726,-0.07076667932437719,-0.061376106437346006,-0.07020863638545094,-0.056502959316580385,-0.08360254089048862,-0.018045388658340145,-0.0844510615125859,-0.06867170546281509,-0.06171565792364193
2025-01-31,0.12317397405596126,0.11654508076493958,0.10360481883096778,0.11951994857760086,0.09668653306313299,0.1285218387265232,0.17923100658397897,0.12555580107345357,0.10870004455152671,0.0959874749912125,0.10232774869775788,0.0809950137657199,0.11139134379123879,0.16969034256005483,0.1116128997154243,0.09732607691741012,0.08225779561074527
2025-02-28,0.41998986345940087,0.4051208192306204,0.4107727245496023,0.41582578351243416,0.39851127502353123,0.4174109883264022,0.40736648197505393,0.39144013353675017,0.3678477294892439,0.36881545433207036,0.4151120725301716,0.4066374028181776,0.42032070308270064,0.41632614527935513,0.3940118760845354,0.3689956637102172,0.37207815267933286
2025-03-31,0.0075289951328872656,-0.0050343861328042494,0.01084248248666589,0.004855001398239295,0.0042915936716699165,-0.007340496505242688,0.018087078581750345,-0.0028058576992302155,-0.013624332289191547,0.0002911617943241459,0.021379948846533756,0.023545408111038585,0.006228171771905996,0.025871905513285925,0.013289791250037675,0.002202501745442536,0.018895707717137722
2025-04-30,0.22566168095503494,0.19863752605775606,0.21547220992778734,0.21159039520056377,0.18594233748096572,0.2128082813172044,0.2082847050013299,0.191154558680973,0.17611313317813027,0.1589733717347343,0.22748490500346194,0.2035430461355477,0.22816244959642337,0.2052152585690034,0.21057519039284253,0.19372841313656813,0.17972502136381324
2025-05-30,0.10185446668669929,0.11931630443365784,0.11287121610730677,0.13326120452119827,0.14447001280510555,0.10341879267720663,0.18214512571577215,0.10266851322335412,0.13015642733044375,0.1199294774237479,0.12400068542840322,0.13573069480580618,0.0969878225232429,0.18564179682170717,0.09733462209047479,0.11946720056978077,0.11440040229113901
2025-06-30,0.19683240504535557,0.17530863549573825,0.19131861307257403,0.181354702983517,0.17522653929193674,0.1735013898154521,0.24960365227890166,0.16538741641389498,0.17268390549161916,0.14577551688117144,0.19388536394403774,0.1936743678550227,0.1877919443423985,0.28213187788527544,0.18253264314318252,0.18797290372049247,0.1615154405858673
2025-07-31,0.0072894245700076705,0.011327929449103222,0.008309208299057525,0.02006779385152912,0.019781882725811568,0.01183690678092111,0.06143818110340537,0.016036916216069508,-0.002366000753811194,0.011226221030096531,0.01434383400715177,0.017140367813236728,0.008455999401285112,0.07432328627532386,0.011244415879036095,-0.007555212114512305,0.0054340854039043275
2025-08-29,0.06379576148296758,0.05963275599836991,0.07056217306956471,0.06521214670020746,0.08919943013966579,0.04768304126502997,0.05234718031928379,0.06190267772419807,0.052543760462453584,0.058901387978005586,0.07762013224891336,0.09499252072343552,0.06039979468356759,0.03387287650825063,0.07277792926543036,0.05968708017642464,0.06789815463358692
2025-09-30,-0.028420136795506725,-0.042528082329599703,-0.040101949110623356,-0.030550012353143446,-0.038882528034441546,-0.036568163159568776,-0.038431612014978855,-0.03906335935885987,-0.046018722860669214,-0.063726515723929,-0.02765161278121037,-0.03201966448045143,-0.03444163852241467,-0.024487266948559447,-0.03551967967478322,-0.04453736209486956,-0.05879519144110051
2025-10-31,0.29833277818991366,0.28288384790805665,0.2786940893398078,0.28130929902759544,0.22976335026576036,0.32619038685013835,0.2620820980097657,0.29611148432439327,0.2272906653981555,0.24137899045772176,0.27267585630357294,0.23301228191295442,0.31132248021496634,0.22615755167705046,0.29021683408226234,0.22213719642082974,0.23415192664983206
2025-11-28,0.11049902980363388,0.10298892061579679,0.10739064030649195,0.09511497574045644,0.08404022306522113,0.10768600547596936,0.10405025704364572,0.10433629165403904,0.09879048707272835,0.10578028894716818,0.09761942171726244,0.08713795980328486,0.10947649416979886,0.07282370492636774,0.11107105372093401,0.10464536247704957,0.11307315887909523
2025-12-30,-0.08739055907319389,-0.06781188299748461,-0.07577434076962355,-0.06888192899607704,-0.017005099474233256,-0.11247767445146795,-0.05250268577703707,-0.06797223756194916,-0.010887868628156694,-0.06017636671498507,-0.08094624603783165,-0.030820332992594193,-0.1224655338723957,-0.046453085708271086,-0.0770360323546187,-0.024593310817817033,-0.07081309920604095
2026-01-30,0.2572333320216251,0.22620289131812105,0.24915681734117612,0.23354769070049433,0.19230346083618655,0.2571582052229519,0.2885577114206006,0.2091839905088324,0.20868129934438875,0.19608735022146404,0.2547828225686022,0.2235790247509662,0.27381851519651973,0.30139702184465444,0.22974436284007613,0.23429863099374557,0.22373624443329435
2026-02-27,0.2001204100758933,0.1927556338835617,0.18492280790494323,0.1944363604812702,0.17242465161952153,0.21895395627656725,0.14348895350270252,0.1927934347034679,0.13685504805575316,0.18397234434490384,0.1847522191953214,0.16655644611335133,0.20452788424402077,0.15364940545576325,0.18462095187053865,0.12767869105814345,0.17364026528619175
2026-03-31,-0.09362611513104449,-0.0898641732286855,-0.08875745394987099,-0.09834100312622321,-0.07946806404162224,-0.12231962345196618,-0.05618823713264306,-0.11051648233537438,-0.03321452169521117,-0.05265134077780112,-0.09504704437496764,-0.07964474293454724,-0.12116047158057838,-0.0338670268232616,-0.11305473392049992,-0.02845024385055093,-0.05024062871593527
2026-04-30,0.22071707749657857,0.21917327766179712,0.21400147602320133,0.2377401431064218,0.22878447648856945,0.22769679693659584,0.19401544666803672,0.2159387261523267,0.202932144010811,0.16104492016817493,0.2244072833476679,0.21718980158194462,0.22131456856759113,0.20978311310955866,0.2103195286075681,0.19458961156988833,0.1567710796575672
2026-05-29,0.4278981796198133,0.42609138487026116,0.4138584050140073,0.43346680463219334,0.43619345803482,0.43005719149810134,0.48077525920548136,0.4346900667924293,0.37018210569146276,0.3606929393551851,0.41027568131920894,0.4269648657460313,0.410974003550958,0.48744755180035654,0.4239092391852589,0.3556989407223338,0.34674518085433237
2026-06-30,0.4987238245435978,0.4818545968208414,0.4491182412251068,0.48013701604078873,0.4042341392045259,0.5479623372403,0.5264677425159324,0.512475608592944,0.38037325906857977,0.40124752179099293,0.4316765491068311,0.3750557440045664,0.5053465983031653,0.5073724685025959,0.48500728407747146,0.3406813358524656,0.36308239172349643
2026-07-31,-0.2543683334670005,-0.26109320101051897,-0.2328519503219217,-0.2580647685354515,-0.24282295430708917,-0.2826182483213627,-0.26887733039703193,-0.26226815637427797,-0.21384741587566325,-0.22285347679201215,-0.22048676550302235,-0.20879652117196718,-0.25049090387182527,-0.22710033696700851,-0.23836461023611452,-0.18323290742670958,-0.1916149654932291
